Entry_type,Case_identifier,Activity,Timestamp,Resource,Start_time,Duration,Result,Quality
ENVIRONMENT,,9 tasks loaded,2023-01-03T07:56:22,task.TaskSetArtifact,,,,
MANAGEMENT,,Agent started,2023-01-03T07:56:25,monitoring_agent,,,,
MANAGEMENT,,"Unspecified agent type, no learning of initial knowledge",2023-01-03T07:56:25,monitoring_agent,,,,
MANAGEMENT,,Agent started,2023-01-03T07:57:49,hta,,,,
MANAGEMENT,,Agent started,2023-01-03T07:57:49,hsa,,,,
MANAGEMENT,,Agent started,2023-01-03T07:57:49,csa,,,,
MANAGEMENT,,Loading initial knowledge,2023-01-03T07:57:49,hta,,,,
MANAGEMENT,,Loading initial knowledge,2023-01-03T07:57:50,hsa,,,,
MANAGEMENT,,Loading initial knowledge,2023-01-03T07:57:50,csa,,,,
MANAGEMENT,,Domain knowledge learned (Client is unidentified),2023-01-03T07:57:51,hta,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Client is unidentified),2023-01-03T07:57:51,csa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Client is unidentified),2023-01-03T07:57:51,hsa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Affected service unknown),2023-01-03T07:57:52,hta,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Affected service unknown),2023-01-03T07:57:53,csa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (User device version unchecked),2023-01-03T07:57:53,hta,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Affected service unknown),2023-01-03T07:57:53,hsa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Provider knowledge-base unchecked),2023-01-03T07:57:53,csa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Device update required),2023-01-03T07:57:54,hta,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (User device version unchecked),2023-01-03T07:57:54,hsa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Wrong provider-side setting X),2023-01-03T07:57:54,csa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Provider knowledge-base unchecked),2023-01-03T07:57:54,hta,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Device update required),2023-01-03T07:57:54,hsa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Wrong provider-side setting X),2023-01-03T07:57:55,hta,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (No problem symptoms anymore),2023-01-03T07:57:55,csa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (No problem symptoms anymore),2023-01-03T07:57:56,hta,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Provider knowledge-base unchecked),2023-01-03T07:57:56,hsa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Wrong provider-side setting X),2023-01-03T07:57:56,hsa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (No problem symptoms anymore),2023-01-03T07:57:57,hsa,,,SUCCESS,
MANAGEMENT,,Starting break,2023-01-03T07:57:57,hsa,,,,
